url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45522237&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,㈜에이프로젠,㈜에이프로젠 바이오사업부 분석개발 연구원 채용,11,신입·경력,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,"충북 청주시 흥덕구, 경기 성남시",X,X,2023.04.19 00:00,2023.05.02 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45522035&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)모토닉스,[자동차전장] 기술연구소 HW설계팀 채용모집 (신입/경력),1,신입·경력 3년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,"경기 수원시 영통구, 성남시, 수원시, 용인시, 화성시",X,X,2023.04.18 11:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45521142&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)브이비젼,[대전/표적항암제 기업] 비임상/임상개발 팀장 또는 임원급 채용,스크랩,경력 5년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,대전 대덕구,X,외국어능력:력영어가능자|활동/경험:해당직무 근무경험,2023.04.18 10:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45520712&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)강스템바이오텍,(주)강스템바이오텍 PV팀 경력직 채용(팀장급),스크랩,경력(년수무관),대졸(4년제) 이상,정규직,면접 후 결정,서울 강남구,X,X,2023.04.18 10:00,2023.05.04 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45520636&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,노보노디스크제약(주),[글로벌 제약사] Study Start-Up Associate 채용,1,경력 2년 ↑,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,서울 송파구,X,X,2023.04.18 10:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45520087&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)씨어스테크놀로지,씨어스테크놀로지 Cardio Lab 채용(임상연구 관리),스크랩,경력 1년 ↑,"대졸(2,3년제) 이상",정규직 수습기간 6개월,면접 후 결정,경기 성남시 분당구,X,X,2023.04.18 09:00,2023.05.31 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45519710&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)알에프바이오,톡신부문 R&D 연구원 신입 & 경력직 채용,2,무관(신입포함),석사졸업 이상,정규직 수습기간 3개월,면접 후 결정,서울 강동구,X,X,2023.04.18 09:00,2023.05.18 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45519391&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)티앤알바이오팹,(주)티앤알바이오팹 RA 의료기기 인허가/임상 담당자 모집,3,경력 2~9년,대졸(4년제) 이상,정규직,면접 후 결정,경기 성남시 분당구,X,"전공:화학공학, 신소재/재료공학, 공학계열",2023.04.18 09:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45518565&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)메디포,"연구간호사 모집 (피부과, 화장품 인체적용시험 담당)",스크랩,무관(신입포함),고교졸업 이상,계약직 4개월,면접 후 결정,강원 춘천시,X,X,2023.04.18 06:00,2023.04.25 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45518335&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,한스컨설팅,강남 위치 안과 관련 디지털헬스케어기업 CRA 대리-과장급,4,경력 5~10년,대졸(4년제) 이상,정규직,"연봉 5,000 만원 (주 40시간) 근무",서울 강남구,X,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.17 21:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45518290&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,한스컨설팅,"향남 위치 신약개발기업 제약관리약사, 사택제공, 2주내처리",스크랩,경력 7~10년,대졸(4년제) 이상,정규직,"연봉 9,000 만원 (주 40시간) 근무",경기 화성시,X,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.17 21:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45517576&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,팜스킨,[자회사] 화장품 RA 경력직 채용[NMPA담당],스크랩,경력 3~10년,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 강남구,X,외국어능력:력중국어 가능자,2023.04.17 18:00,2023.05.03 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45517544&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,제이앤파트너즈코리아(주),글로벌 제약사 - ( RA / PV )팀원 채용 안내,2,경력 2년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울 중구,X,X,2023.04.17 18:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45517477&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,팜스킨,[자회사] 화장품 RA 경력직 채용[CPNP 담당],스크랩,경력 3~10년,"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,서울 강남구,X,외국어능력:력영어가능자,2023.04.17 18:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45517417&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)피플렙,"병원그룹 제약사 제제연구팀장/ BD팀원, 팀장",스크랩,경력 10~20년,대졸(4년제) 이상,정규직,면접 후 결정,경기 성남시,X,X,2023.04.17 17:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516794&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)바이오세텍,(주)바이오세텍 의료기기 제품개발(R&D) 담당자 채용,1,신입·경력(년수무관),대졸(4년제) 이상(예정자 가능),정규직 수습기간 3개월,면접 후 결정,서울 금천구,X,"전공:화학공학, 신소재/재료공학|활동/경험:해당직무 인턴경력, 해당직무 근무경험, 석사학위 수여자|자격/능력:CAD/CAM 능숙자",2023.04.17 17:00,2023.05.17 23:59
