url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45597066&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,대한맛집선정센터,TM / 설문조사 리서치 상담원 모집 / 기본급 보장 / 인센티브,스크랩,무관(신입포함),학력무관,정규직 수습기간 3개월,월급 250 만원 (주 40시간) 근무,부산 해운대구 (재택근무 가능),X,X,2023.04.28 09:00,2023.05.02 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45597047&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,대한맛집선정센터,TM 상담원 / 기본급 + 인센티브 / 신입가능,스크랩,경력(년수무관),고교졸업 이상,정규직 수습기간 3개월,월급 250 만원 (주 40시간) 근무,부산 해운대구,X,X,2023.04.28 09:00,2023.05.02 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45597011&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,(주)비엠제약,공무팀 팀장급 채용,스크랩,경력 5년 ↑,학력무관(예정자 가능),정규직 수습기간 2개월,"연봉 4,000 만원 (주 40시간) 근무",경기 파주시,X,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596951&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[현대1차 자동차 부품기업] 구매 (대리 ~ 과장 정규직),스크랩,신입·경력 4~10년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 화성시,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596939&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,(주)비엠제약,품질부 경력직 채용 (팀장급),스크랩,경력 5년 ↑,대졸(4년제) 이상,정규직 수습기간 2개월,"연봉 3,500 만원 (주 40시간) 근무",경기 파주시,X,전공:공학계열|근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596935&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[현대1차 자동차 부품기업] 영업관리 (사원 ~ 대리 정규직),스크랩,신입·경력 1~6년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 화성시,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596901&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,(주)선제,(주)선제 품질관리팀 공정검사(공정관리)담당 채용,스크랩,무관(신입포함),학력무관(예정자 가능),정규직 수습기간 3개월,면접 후 결정,충남 천안시 서북구,X,전공:식품/유전/바이오|근무조건:인근거주자|활동/경험:해당직무 근무경험|자격/능력:문서작성 우수자,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596814&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[현대1차 부품기업] 전산 네트워크 관리,스크랩,경력 2~12년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 화성시,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596712&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,인포드림넷(주),[영업아님/월300만]신한카드 미납안내 및 입금문자 발송 상담,스크랩,무관(신입포함),학력무관,파견직 2년,"연봉 3,400 만원 (주 40시간) 근무","광주 북구, 광주전체, 광산구, 동구, 서구, 전남 나주시, 담양군, 화순군",X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596711&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[현대1차 자동차 부품기업] 품질관리 (대리 ~ 과장 정규직),스크랩,신입·경력 4~10년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 화성시,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596700&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[코스피 중견 국내1위 ODM 지주회사] 인사기획 (정규직),스크랩,경력 5~10년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 성남시 분당구,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596675&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,에이치알포유(주),[현대1차 자동차 부품기업] 인사 총무(사원 대리 정규직),스크랩,경력 3~10년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,경기 화성시,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596629&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,(주)닥스메디,닥스메디 사업부 영업직 채용,스크랩,무관(신입포함),"대졸(2,3년제) 이상",정규직 수습기간 3개월,면접 후 결정,경기 고양시 일산서구,X,X,2023.04.28 09:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596600&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,경남도립양산노인전문병원,간호조무사,1,경력 2년 ↑,고교졸업 이상,정규직 수습기간 3개월,"연봉 2,700 만원 (주 40시간) 근무",경남 양산시,X,X,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596368&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,경남도립양산노인전문병원,나이트전담간호사 구합니다,스크랩,경력 3~4년,"대졸(2,3년제) 이상",정규직 수습기간 3개월,"연봉 4,300 만원 (주 40시간) 근무",경남 양산시,X,X,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596267&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87da3bd0-e41d-4b79-8403-46db26215f84,(주)재원푸드,(주)재원푸드 앤티앤스 매장운영직군 정규직(신입) 채용,스크랩,무관(신입포함),학력무관,정규직 수습기간 3개월,월급 217 만원 (주 40시간) 근무,"서울 서초구, 서울전체",X,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.28 09:00,2023.04.30 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596256&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,(주)재원푸드,[주 5일 아르바이트] 에버랜드점 앤티앤스프레즐,스크랩,무관(신입포함),학력무관(예정자 가능),아르바이트,"시급 11,500 원","경기 용인시 처인구, 용인시, 용인시 기흥구, 용인시 수지구",X,근무조건:인근거주자|활동/경험:해당직무 근무경험,2023.04.28 09:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45596229&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,(주)재원푸드,[월217만/출근교통비 지원] 아산병원 앤티앤스프레즐,스크랩,무관(신입포함),학력무관(예정자 가능),정규직 수습기간 3개월,월급 217 만원 (주 40시간) 근무,서울 송파구,X,활동/경험:해당직무 근무경험,2023.04.28 08:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45595998&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,삼성다이나에이치백(주),삼성다이나에이치백(주) 경영지원부(총무/환경팀) 채용 공고,2,무관(신입포함),대졸(4년제) 이상(예정자 가능) 학점 3.2 이상 (4.5기준),정규직 수습기간 3개월,면접 후 결정,경남 창원시,X,X,2023.04.28 08:00,2023.05.28 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45595821&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,㈜영민메디칼,의료기기 영업 및 관리,스크랩,신입,"대졸(2,3년제) 이상(예정자 가능)",정규직 수습기간 3개월,면접 후 결정,"서울 강서구, 서울전체",X,"근무조건:인근거주자, 운전가능자|자격/능력:엑셀 고급능력자",2023.04.28 08:00,2023.05.05 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45595737&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,(주)위즈바이오솔루션,인사총무담당자 채용,3,신입·경력 5년 ↓,학력무관,정규직 수습기간 3개월,면접 후 결정,경기 성남시 중원구,X,X,2023.04.28 07:00,2023.05.16 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45595714&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,반석써치(주),그룹사 사옥 신축 및 관리자 (강남),1,경력 4~11년,대졸(4년제) 이상,정규직,면접 후 결정,경기 성남시 분당구,X,X,2023.04.28 06:00,2023.05.13 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45595713&location=ts&searchword=%EB%B3%B4%EA%B1%B4%EA%B4%80%EB%A6%AC%EC%9E%90&searchType=search&paid_fl=n&search_uuid=324e1940-5274-4fe6-affe-1fdc4b76a90c,반석써치(주),중견 제조사 산업안전관리(소방) 경력직 구인(천안),1,경력 1~8년,"대졸(2,3년제) 이상",정규직,면접 후 결정,충남 천안시 서북구,X,"자격증:소방설비기사, 소방설비산업기사",2023.04.28 06:00,2023.05.13 23:59
